KeyId,TournamentId,tournament Name,MatchId,MatchName,StageName,GroupName,GroupStage,KnockoutStage,Replayed,Replay,MatchDate,MatchTime,StadiumId,StadiumName,CityName,CountryName,HomeTeamId,HomeTeamName,HomeTeamCode,AwayTeamId,AwayTeamName,AwayTeamCode,Score,HomeTeamScore,AwayTeamScore,HomeTeamScoreMargin,AwayTeamScoreMargin,ExtraTime,PenaltyShootout,ScorePenalties,HomeTeamScorePenalties,AwayTeamScorePenalties,Result,HomeTeamWin,AwayTeamWin,Draw
545,WC-1998,1998 FIFA World Cup,M-1998-29,Argentina v Jamaica,group stage,Group H,True,False,False,False,1998-06-21,17:30:00,S-045,Parc des Princes,Paris,France,T-03,Argentina,ARG,T-41,Jamaica,JAM,50,5,0,5,-5,False,False,0-0,0,0,home team win,True,False,False
546,WC-1998,1998 FIFA World Cup,M-1998-30,United States v Iran,group stage,Group F,True,False,False,False,1998-06-21,21:00:00,S-041,Stade de Gerland,Lyon,France,T-80,United States,USA,T-36,Iran,IRN,12,1,2,-1,1,False,False,0-0,0,0,away team win,False,True,False
547,WC-1998,1998 FIFA World Cup,M-1998-31,Colombia v Tunisia,group stage,Group G,True,False,False,False,1998-06-22,17:30:00,S-043,Stade de la Mosson,Montpellier,France,T-15,Colombia,COL,T-76,Tunisia,TUN,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
548,WC-1998,1998 FIFA World Cup,M-1998-32,Romania v England,group stage,Group G,True,False,False,False,1998-06-22,21:00:00,S-051,Stade de Toulouse,Toulouse,France,T-59,Romania,ROU,T-27,England,ENG,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
549,WC-1998,1998 FIFA World Cup,M-1998-33,Chile v Cameroon,group stage,Group B,True,False,False,False,1998-06-23,16:00:00,S-044,Stade de la Beaujoire,Nantes,France,T-13,Chile,CHL,T-11,Cameroon,CMR,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
550,WC-1998,1998 FIFA World Cup,M-1998-34,Italy v Austria,group stage,Group B,True,False,False,False,1998-06-23,16:00:00,S-048,Stade de France,Saint-Denis,France,T-39,Italy,ITA,T-05,Austria,AUT,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
551,WC-1998,1998 FIFA World Cup,M-1998-35,Brazil v Norway,group stage,Group A,True,False,False,False,1998-06-23,21:00:00,S-042,Stade Vélodrome,Marseille,France,T-09,Brazil,BRA,T-51,Norway,NOR,12,1,2,-1,1,False,False,0-0,0,0,away team win,False,True,False
552,WC-1998,1998 FIFA World Cup,M-1998-36,Scotland v Morocco,group stage,Group A,True,False,False,False,1998-06-23,21:00:00,S-049,Stade Geoffroy-Guichard,Saint-Étienne,France,T-62,Scotland,SCO,T-45,Morocco,MAR,03,0,3,-3,3,False,False,0-0,0,0,away team win,False,True,False
553,WC-1998,1998 FIFA World Cup,M-1998-37,France v Denmark,group stage,Group C,True,False,False,False,1998-06-24,16:00:00,S-041,Stade de Gerland,Lyon,France,T-28,France,FRA,T-21,Denmark,DNK,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
554,WC-1998,1998 FIFA World Cup,M-1998-38,South Africa v Saudi Arabia,group stage,Group C,True,False,False,False,1998-06-24,16:00:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-68,South Africa,ZAF,T-61,Saudi Arabia,SAU,22,2,2,0,0,False,False,0-0,0,0,draw,False,False,True
555,WC-1998,1998 FIFA World Cup,M-1998-39,Nigeria v Paraguay,group stage,Group D,True,False,False,False,1998-06-24,21:00:00,S-051,Stade de Toulouse,Toulouse,France,T-48,Nigeria,NGA,T-53,Paraguay,PRY,13,1,3,-2,2,False,False,0-0,0,0,away team win,False,True,False
556,WC-1998,1998 FIFA World Cup,M-1998-40,Spain v Bulgaria,group stage,Group D,True,False,False,False,1998-06-24,21:00:00,S-039,Stade Félix-Bollaert,Lens,France,T-71,Spain,ESP,T-10,Bulgaria,BGR,61,6,1,5,-5,False,False,0-0,0,0,home team win,True,False,False
557,WC-1998,1998 FIFA World Cup,M-1998-41,Belgium v South Korea,group stage,Group E,True,False,False,False,1998-06-25,16:00:00,S-045,Parc des Princes,Paris,France,T-06,Belgium,BEL,T-69,South Korea,KOR,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
558,WC-1998,1998 FIFA World Cup,M-1998-42,Netherlands v Mexico,group stage,Group E,True,False,False,False,1998-06-25,16:00:00,S-049,Stade Geoffroy-Guichard,Saint-Étienne,France,T-46,Netherlands,NLD,T-44,Mexico,MEX,22,2,2,0,0,False,False,0-0,0,0,draw,False,False,True
559,WC-1998,1998 FIFA World Cup,M-1998-43,Germany v Iran,group stage,Group F,True,False,False,False,1998-06-25,21:00:00,S-043,Stade de la Mosson,Montpellier,France,T-29,Germany,DEU,T-36,Iran,IRN,20,2,0,2,-2,False,False,0-0,0,0,home team win,True,False,False
560,WC-1998,1998 FIFA World Cup,M-1998-44,United States v Yugoslavia,group stage,Group F,True,False,False,False,1998-06-25,21:00:00,S-044,Stade de la Beaujoire,Nantes,France,T-80,United States,USA,T-84,Yugoslavia,YUG,01,0,1,-1,1,False,False,0-0,0,0,away team win,False,True,False
561,WC-1998,1998 FIFA World Cup,M-1998-45,Argentina v Croatia,group stage,Group H,True,False,False,False,1998-06-26,16:00:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-03,Argentina,ARG,T-17,Croatia,HRV,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
562,WC-1998,1998 FIFA World Cup,M-1998-46,Japan v Jamaica,group stage,Group H,True,False,False,False,1998-06-26,16:00:00,S-041,Stade de Gerland,Lyon,France,T-42,Japan,JPN,T-41,Jamaica,JAM,12,1,2,-1,1,False,False,0-0,0,0,away team win,False,True,False
563,WC-1998,1998 FIFA World Cup,M-1998-47,Colombia v England,group stage,Group G,True,False,False,False,1998-06-26,21:00:00,S-039,Stade Félix-Bollaert,Lens,France,T-15,Colombia,COL,T-27,England,ENG,02,0,2,-2,2,False,False,0-0,0,0,away team win,False,True,False
564,WC-1998,1998 FIFA World Cup,M-1998-48,Romania v Tunisia,group stage,Group G,True,False,False,False,1998-06-26,21:00:00,S-048,Stade de France,Saint-Denis,France,T-59,Romania,ROU,T-76,Tunisia,TUN,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
565,WC-1998,1998 FIFA World Cup,M-1998-49,Italy v Norway,round of 16,not applicable,False,True,False,False,1998-06-27,16:30:00,S-042,Stade Vélodrome,Marseille,France,T-39,Italy,ITA,T-51,Norway,NOR,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
566,WC-1998,1998 FIFA World Cup,M-1998-50,Brazil v Chile,round of 16,not applicable,False,True,False,False,1998-06-27,21:00:00,S-045,Parc des Princes,Paris,France,T-09,Brazil,BRA,T-13,Chile,CHL,41,4,1,3,-3,False,False,0-0,0,0,home team win,True,False,False
567,WC-1998,1998 FIFA World Cup,M-1998-51,France v Paraguay,round of 16,not applicable,False,True,False,False,1998-06-28,16:30:00,S-039,Stade Félix-Bollaert,Lens,France,T-28,France,FRA,T-53,Paraguay,PRY,10,1,0,1,-1,True,False,0-0,0,0,home team win,True,False,False
568,WC-1998,1998 FIFA World Cup,M-1998-52,Nigeria v Denmark,round of 16,not applicable,False,True,False,False,1998-06-28,21:00:00,S-048,Stade de France,Saint-Denis,France,T-48,Nigeria,NGA,T-21,Denmark,DNK,14,1,4,-3,3,False,False,0-0,0,0,away team win,False,True,False
569,WC-1998,1998 FIFA World Cup,M-1998-53,Germany v Mexico,round of 16,not applicable,False,True,False,False,1998-06-29,16:30:00,S-043,Stade de la Mosson,Montpellier,France,T-29,Germany,DEU,T-44,Mexico,MEX,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
570,WC-1998,1998 FIFA World Cup,M-1998-54,Netherlands v Yugoslavia,round of 16,not applicable,False,True,False,False,1998-06-29,21:00:00,S-051,Stade de Toulouse,Toulouse,France,T-46,Netherlands,NLD,T-84,Yugoslavia,YUG,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
571,WC-1998,1998 FIFA World Cup,M-1998-55,Romania v Croatia,round of 16,not applicable,False,True,False,False,1998-06-30,16:30:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-59,Romania,ROU,T-17,Croatia,HRV,01,0,1,-1,1,False,False,0-0,0,0,away team win,False,True,False
572,WC-1998,1998 FIFA World Cup,M-1998-56,Argentina v England,round of 16,not applicable,False,True,False,False,1998-06-30,21:00:00,S-049,Stade Geoffroy-Guichard,Saint-Étienne,France,T-03,Argentina,ARG,T-27,England,ENG,22,2,2,0,0,True,True,43,4,3,home team win,True,False,False
573,WC-1998,1998 FIFA World Cup,M-1998-57,Italy v France,quarter-finals,not applicable,False,True,False,False,1998-07-03,16:30:00,S-048,Stade de France,Saint-Denis,France,T-39,Italy,ITA,T-28,France,FRA,00,0,0,0,0,True,True,34,3,4,away team win,False,True,False
574,WC-1998,1998 FIFA World Cup,M-1998-58,Brazil v Denmark,quarter-finals,not applicable,False,True,False,False,1998-07-03,21:00:00,S-044,Stade de la Beaujoire,Nantes,France,T-09,Brazil,BRA,T-21,Denmark,DNK,32,3,2,1,-1,False,False,0-0,0,0,home team win,True,False,False
575,WC-1998,1998 FIFA World Cup,M-1998-59,Netherlands v Argentina,quarter-finals,not applicable,False,True,False,False,1998-07-04,16:30:00,S-042,Stade Vélodrome,Marseille,France,T-46,Netherlands,NLD,T-03,Argentina,ARG,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
576,WC-1998,1998 FIFA World Cup,M-1998-60,Germany v Croatia,quarter-finals,not applicable,False,True,False,False,1998-07-04,21:00:00,S-041,Stade de Gerland,Lyon,France,T-29,Germany,DEU,T-17,Croatia,HRV,03,0,3,-3,3,False,False,0-0,0,0,away team win,False,True,False
577,WC-1998,1998 FIFA World Cup,M-1998-61,Brazil v Netherlands,semi-finals,not applicable,False,True,False,False,1998-07-07,21:00:00,S-042,Stade Vélodrome,Marseille,France,T-09,Brazil,BRA,T-46,Netherlands,NLD,11,1,1,0,0,True,True,42,4,2,home team win,True,False,False
578,WC-1998,1998 FIFA World Cup,M-1998-62,France v Croatia,semi-finals,not applicable,False,True,False,False,1998-07-08,21:00:00,S-048,Stade de France,Saint-Denis,France,T-28,France,FRA,T-17,Croatia,HRV,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
579,WC-1998,1998 FIFA World Cup,M-1998-63,Netherlands v Croatia,third-place match,not applicable,False,True,False,False,1998-07-11,21:00:00,S-045,Parc des Princes,Paris,France,T-46,Netherlands,NLD,T-17,Croatia,HRV,12,1,2,-1,1,False,False,0-0,0,0,away team win,False,True,False
580,WC-1998,1998 FIFA World Cup,M-1998-64,Brazil v France,final,not applicable,False,True,False,False,1998-07-12,21:00:00,S-048,Stade de France,Saint-Denis,France,T-09,Brazil,BRA,T-28,France,FRA,03,0,3,-3,3,False,False,0-0,0,0,away team win,False,True,False
581,WC-2002,2002 FIFA World Cup,M-2002-01,France v Senegal,group stage,Group A,True,False,False,False,2002-05-31,20:30:00,S-144,Seoul World Cup Stadium,Seoul,South Korea,T-28,France,FRA,T-63,Senegal,SEN,01,0,1,-1,1,False,False,0-0,0,0,away team win,False,True,False
582,WC-2002,2002 FIFA World Cup,M-2002-02,Republic of Ireland v Cameroon,group stage,Group E,True,False,False,False,2002-06-01,15:30:00,S-088,Niigata Stadium,Niigata,Japan,T-58,Republic of Ireland,IRL,T-11,Cameroon,CMR,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
583,WC-2002,2002 FIFA World Cup,M-2002-03,Uruguay v Denmark,group stage,Group A,True,False,False,False,2002-06-01,18:00:00,S-146,Ulsan Munsu Football Stadium,Ulsan,South Korea,T-81,Uruguay,URY,T-21,Denmark,DNK,12,1,2,-1,1,False,False,0-0,0,0,away team win,False,True,False
584,WC-2002,2002 FIFA World Cup,M-2002-04,Germany v Saudi Arabia,group stage,Group E,True,False,False,False,2002-06-01,20:30:00,S-092,Sapporo Dome,Sapporo,Japan,T-29,Germany,DEU,T-61,Saudi Arabia,SAU,80,8,0,8,-8,False,False,0-0,0,0,home team win,True,False,False
585,WC-2002,2002 FIFA World Cup,M-2002-05,Argentina v Nigeria,group stage,Group F,True,False,False,False,2002-06-02,14:30:00,S-085,Kashima Stadium,Ibaraki,Japan,T-03,Argentina,ARG,T-48,Nigeria,NGA,10,1,0,1,-1,False,False,0-0,0,0,home team win,True,False,False
586,WC-2002,2002 FIFA World Cup,M-2002-06,Paraguay v South Africa,group stage,Group B,True,False,False,False,2002-06-02,16:30:00,S-137,Busan Asiad Stadium,Busan,South Korea,T-53,Paraguay,PRY,T-68,South Africa,ZAF,22,2,2,0,0,False,False,0-0,0,0,draw,False,False,True
587,WC-2002,2002 FIFA World Cup,M-2002-07,England v Sweden,group stage,Group F,True,False,False,False,2002-06-02,18:30:00,S-091,Saitama Stadium,Saitama,Japan,T-27,England,ENG,T-72,Sweden,SWE,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
588,WC-2002,2002 FIFA World Cup,M-2002-08,Spain v Slovenia,group stage,Group B,True,False,False,False,2002-06-02,20:30:00,S-140,Gwangju World Cup Stadium,Gwangju,South Korea,T-71,Spain,ESP,T-67,Slovenia,SVN,31,3,1,2,-2,False,False,0-0,0,0,home team win,True,False,False
589,WC-2002,2002 FIFA World Cup,M-2002-09,Croatia v Mexico,group stage,Group G,True,False,False,False,2002-06-03,15:30:00,S-088,Niigata Stadium,Niigata,Japan,T-17,Croatia,HRV,T-44,Mexico,MEX,01,0,1,-1,1,False,False,0-0,0,0,away team win,False,True,False
590,WC-2002,2002 FIFA World Cup,M-2002-10,Brazil v Turkey,group stage,Group C,True,False,False,False,2002-06-03,18:00:00,S-146,Ulsan Munsu Football Stadium,Ulsan,South Korea,T-09,Brazil,BRA,T-77,Turkey,TUR,21,2,1,1,-1,False,False,0-0,0,0,home team win,True,False,False
591,WC-2002,2002 FIFA World Cup,M-2002-11,Italy v Ecuador,group stage,Group G,True,False,False,False,2002-06-03,20:30:00,S-092,Sapporo Dome,Sapporo,Japan,T-39,Italy,ITA,T-24,Ecuador,ECU,20,2,0,2,-2,False,False,0-0,0,0,home team win,True,False,False
592,WC-2002,2002 FIFA World Cup,M-2002-12,China v Costa Rica,group stage,Group C,True,False,False,False,2002-06-04,15:30:00,S-140,Gwangju World Cup Stadium,Gwangju,South Korea,T-14,China,CHN,T-16,Costa Rica,CRI,02,0,2,-2,2,False,False,0-0,0,0,away team win,False,True,False
593,WC-2002,2002 FIFA World Cup,M-2002-13,Japan v Belgium,group stage,Group H,True,False,False,False,2002-06-04,18:00:00,S-091,Saitama Stadium,Saitama,Japan,T-42,Japan,JPN,T-06,Belgium,BEL,22,2,2,0,0,False,False,0-0,0,0,draw,False,False,True
594,WC-2002,2002 FIFA World Cup,M-2002-14,South Korea v Poland,group stage,Group D,True,False,False,False,2002-06-04,20:30:00,S-137,Busan Asiad Stadium,Busan,South Korea,T-69,South Korea,KOR,T-55,Poland,POL,20,2,0,2,-2,False,False,0-0,0,0,home team win,True,False,False
595,WC-2002,2002 FIFA World Cup,M-2002-15,Russia v Tunisia,group stage,Group H,True,False,False,False,2002-06-05,15:30:00,S-086,Kobe Wing Stadium,Kobe,Japan,T-60,Russia,RUS,T-76,Tunisia,TUN,20,2,0,2,-2,False,False,0-0,0,0,home team win,True,False,False
596,WC-2002,2002 FIFA World Cup,M-2002-16,United States v Portugal,group stage,Group D,True,False,False,False,2002-06-05,18:00:00,S-145,Suwon World Cup Stadium,Suwon,South Korea,T-80,United States,USA,T-56,Portugal,PRT,32,3,2,1,-1,False,False,0-0,0,0,home team win,True,False,False
597,WC-2002,2002 FIFA World Cup,M-2002-17,Germany v Republic of Ireland,group stage,Group E,True,False,False,False,2002-06-05,20:30:00,S-085,Kashima Stadium,Ibaraki,Japan,T-29,Germany,DEU,T-58,Republic of Ireland,IRL,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
598,WC-2002,2002 FIFA World Cup,M-2002-18,Denmark v Senegal,group stage,Group A,True,False,False,False,2002-06-06,15:30:00,S-138,Daegu World Cup Stadium,Daegu,South Korea,T-21,Denmark,DNK,T-63,Senegal,SEN,11,1,1,0,0,False,False,0-0,0,0,draw,False,False,True
